,Airport,City,State,IATA,Latitude,Longitude,Acre
0,Birmingham–Shuttlesworth International Airport,Birmingham,Alabama,BHM,33.5639,-86.7522,2170.0
1,Dothan Regional Airport,Dothan,Alabama,DHN,31.3211,-85.4494,1150.0
2,Huntsville International Airport,Huntsville,Alabama,HSV,34.6372,-86.775,6000.0
3,Mobile Regional Airport,Mobile,Alabama,MOB,30.6914,-88.2428,1717.0
4,Montgomery Regional Airport,Montgomery,Alabama,MGM,32.3006,-86.3939,1907.0
5,Adak Airport,Adak,Alaska,ADK,51.8781,-176.6461,2384.0
6,Lake Hood Seaplane Base,Anchorage,Alaska,,61.2167,-149.9,2384.0
7,Merrill Field,Anchorage,Alaska,MRI,61.2136,-149.8444,436.0
8,Ted Stevens Anchorage International Airport,Anchorage,Alaska,ANC,61.1742,-149.9983,4608.0
9,Aniak Airport,Aniak,Alaska,ANI,61.5817,-159.5431,1722.0
10,Wiley Post–Will Rogers Memorial Airport,Barrow,Alaska,BRW,71.2856,-156.7661,2384.0
11,Bethel Airport,Bethel,Alaska,BET,60.7786,-161.8372,1056.0
12,Merle K. Smith Airport,Cordova,Alaska,CDV,60.4917,-145.4775,2959.0
13,Deadhorse Airport,Deadhorse,Alaska,SCC,70.2056,-148.5117,6506.0
14,Dillingham Airport,Dillingham,Alaska,DLG,59.0447,-158.5056,620.0
15,Fairbanks International Airport,Fairbanks,Alaska,FAI,64.815,-147.8564,3470.0
16,Edward G. Pitka Sr. Airport,Galena,Alaska,GAL,64.7361,-156.9375,1250.0
17,Gustavus Airport,Gustavus,Alaska,GST,58.4253,-135.7075,1821.0
18,Homer Airport,Homer,Alaska,HOM,59.6431,-151.5258,1040.0
19,Juneau International Airport,Juneau,Alaska,JNU,58.355,-134.5764,662.0
20,Kenai Municipal Airport,Kenai,Alaska,ENA,60.5733,-151.2447,1200.0
21,Ketchikan International Airport,Ketchikan,Alaska,KTN,55.3542,-131.7111,2600.0
22,King Salmon Airport,King Salmon,Alaska,AKN,58.6764,-156.6486,5277.0
23,Kodiak Airport,Kodiak,Alaska,ADQ,57.7497,-152.4939,2384.0
24,Ralph Wien Memorial Airport,Kotzebue,Alaska,OTZ,66.884722,-162.598611,1480.0
25,Nome Airport,Nome,Alaska,OME,64.5122,-165.4453,2384.0
26,Petersburg James A. Johnson Airport,Petersburg,Alaska,PSG,56.8014,-132.9461,2384.0
27,Sitka Rocky Gutierrez Airport,Sitka,Alaska,SIT,57.0472,-135.3617,2384.0
28,St. Mary's Airport,St. Mary's,Alaska,KSM,49.9133,-6.2917,2384.0
29,Unalakleet Airport,Unalakleet,Alaska,UNK,63.888333,-160.798889,5837.0
30,Unalaska Airport,Unalaska,Alaska,DUT,53.8989,-166.545,2384.0
31,Valdez Airport,Valdez,Alaska,VDZ,61.1308,-146.3483,836.0
32,Wrangell Airport,Wrangell,Alaska,WRG,56.4844,-132.3697,2384.0
33,Yakutat Airport,Yakutat,Alaska,YAK,59.5033,-139.6603,2384.0
34,Laughlin/Bullhead International Airport,Bullhead City,Arizona,IFP,35.1561,-114.5594,2384.0
35,Flagstaff Pulliam Airport,Flagstaff,Arizona,FLG,35.1403,-111.6692,763.0
36,Grand Canyon National Park Airport,Grand Canyon,Arizona,GCN,36.0553,-112.1218,859.0
37,Phoenix–Mesa Gateway Airport,Mesa,Arizona,AZA,33.4222,-111.8228,3020.0
38,Page Municipal Airport,Page,Arizona,PGA,36.9261,-111.4483,555.0
39,Grand Canyon West Airport,Peach Springs,Arizona,GCW,36.0122,-113.8111,350.0
40,Phoenix Sky Harbor International Airport,Phoenix,Arizona,PHX,33.4342,-112.0117,3400.0
41,Tucson International Airport,Tucson,Arizona,TUS,32.1161,-110.9411,7938.0
42,Yuma International Airport,Yuma,Arizona,YUM,32.6567,-114.6061,3100.0
43,Northwest Arkansas Regional Airport,Fayetteville,Arkansas,XNA,36.2817,-94.3078,2184.0
44,Fort Smith Regional Airport,Fort Smith,Arkansas,FSM,35.3367,-94.3675,1359.0
45,Bill and Hillary Clinton National Airport,Little Rock,Arkansas,LIT,34.73,-92.22,2000.0
46,Texarkana Regional Airport,Texarkana,Arkansas,TXK,33.4536,-93.9911,964.0
47,Arcata Airport,Arcata,California,ACV,40.9778,-124.1083,745.0
48,Meadows Field,Bakersfield,California,BFL,35.4339,-119.0578,1357.0
49,Bob Hope Airport,Burbank,California,BUR,34.2006,-118.3586,555.0
50,McClellan–Palomar Airport,Carlsbad,California,CRQ,33.1283,-117.28,466.0
51,Mc Clellan Palomar Airport-Crq,Carlsbad,California,CLD,33.1283,-117.28,466.0
52,Chico Municipal Airport,Chico,California,CIC,39.7953,-121.8583,1475.0
53,Del Norte County Airport,Crescent City,California,CEC,41.7803,-124.2367,544.0
54,Imperial County Airport,El Centro,California,IPL,32.8342,-115.5786,370.0
55,Fresno Yosemite International Airport,Fresno,California,FAT,36.7767,-119.7189,2384.0
56,Inyokern Airport,Inyokern,California,IYK,35.6586,-117.8294,1640.0
57,Long Beach Airport,Long Beach,California,LGB,33.8178,-118.1517,2384.0
